"Tissue","Cell_type","Category","Change","Chromosome","Start","End","Annotation","Gene.ID","Symbol","Correlated_Start","Correlated_End","Correlated_Annotation","Correlated_Gene.ID","Correlated_Symbol","Correlation"
"Esophagus-Muscularis","Mural Cells","old vs mid","DECREASE","chr8",13362029,13362529,"Intron (ENST00000276297.9/10395, intron 4 of 17)",10395,"DLC1",13406290,13406790,"Intron (ENST00000276297.9/10395, intron 2 of 17)",10395,"DLC1",0.51301718
"Esophagus-Muscularis","Mural Cells","old vs mid","DECREASE","chr17",17361640,17362140,"Distal Intergenic",56953,"NT5M",17387870,17388370,"Distal Intergenic",56953,"NT5M",0.555357552
"Esophagus-Muscularis","Mural Cells","old vs mid","DECREASE","chr17",17361640,17362140,"Distal Intergenic",56953,"NT5M",17386186,17386686,"Distal Intergenic",56953,"NT5M",0.635109107
"Esophagus-Muscularis","Mural Cells","old vs mid","DECREASE","chr17",17361640,17362140,"Distal Intergenic",56953,"NT5M",17366724,17367224,"Distal Intergenic",56953,"NT5M",0.61259808
"Esophagus-Muscularis","Mural Cells","old vs mid","DECREASE","chr19",17847742,17848242,"Promoter (<=1kb)",3718,"JAK3",17859600,17860100,"Promoter (<=1kb)",6142,"RPL18A",0.508025964
"Esophagus-Muscularis","Mural Cells","old vs mid","DECREASE","chr17",19533617,19534117,"Promoter (<=1kb)",55244,"SLC47A1",19507747,19508247,"Intron (ENST00000584348.5/55244, intron 1 of 6)",55244,"SLC47A1",0.527014242
"Esophagus-Muscularis","Mural Cells","old vs mid","DECREASE","chr22",30249080,30249580,"Promoter (2-3kb)",3976,"LIF",30205316,30205816,"Promoter (1-2kb)",105372988,"LOC105372988",0.593294815
"Esophagus-Muscularis","Mural Cells","old vs mid","DECREASE","chr22",30249080,30249580,"Promoter (2-3kb)",3976,"LIF",30253112,30253612,"Distal Intergenic",3976,"LIF",0.634365369
"Esophagus-Muscularis","Mural Cells","old vs mid","DECREASE","chr7",31054865,31055365,"Promoter (1-2kb)",117,"ADCYAP1R1",31058046,31058546,"Promoter (1-2kb)",117,"ADCYAP1R1",0.644349722
"Esophagus-Muscularis","Mural Cells","old vs mid","DECREASE","chr7",31058046,31058546,"Promoter (1-2kb)",117,"ADCYAP1R1",31054865,31055365,"Promoter (1-2kb)",117,"ADCYAP1R1",0.644349722
"Esophagus-Muscularis","Mural Cells","old vs mid","DECREASE","chr5",31770410,31770910,"Intron (ENST00000438447.2/23037, intron 1 of 24)",23037,"PDZD2",31793681,31794181,"Intron (ENST00000438447.2/23037, intron 1 of 24)",23037,"PDZD2",0.522740329
"Esophagus-Muscularis","Mural Cells","old vs mid","DECREASE","chr3",32201250,32201750,"Distal Intergenic",152189,"CMTM8",32200407,32200907,"Distal Intergenic",152189,"CMTM8",0.548890432
"Esophagus-Muscularis","Mural Cells","old vs mid","DECREASE","chr21",35208112,35208612,"Intron (ENST00000475045.6/101928269, intron 9 of 12)",861,"RUNX1",35254448,35254948,"Intron (ENST00000475045.6/101928269, intron 9 of 12)",861,"RUNX1",0.573536913
"Esophagus-Muscularis","Mural Cells","old vs mid","DECREASE","chr21",35208112,35208612,"Intron (ENST00000475045.6/101928269, intron 9 of 12)",861,"RUNX1",35212627,35213127,"Intron (ENST00000475045.6/101928269, intron 9 of 12)",861,"RUNX1",0.532966385
"Esophagus-Muscularis","Mural Cells","old vs mid","DECREASE","chr21",35212627,35213127,"Intron (ENST00000475045.6/101928269, intron 9 of 12)",861,"RUNX1",35205189,35205689,"Intron (ENST00000475045.6/101928269, intron 9 of 12)",861,"RUNX1",0.502602228
"Esophagus-Muscularis","Mural Cells","old vs mid","DECREASE","chr21",35212627,35213127,"Intron (ENST00000475045.6/101928269, intron 9 of 12)",861,"RUNX1",35254448,35254948,"Intron (ENST00000475045.6/101928269, intron 9 of 12)",861,"RUNX1",0.597914632
"Esophagus-Muscularis","Mural Cells","old vs mid","DECREASE","chr21",35212627,35213127,"Intron (ENST00000475045.6/101928269, intron 9 of 12)",861,"RUNX1",35208112,35208612,"Intron (ENST00000475045.6/101928269, intron 9 of 12)",861,"RUNX1",0.532966385
"Esophagus-Muscularis","Mural Cells","old vs mid","DECREASE","chr11",35245769,35246269,"Distal Intergenic",6506,"SLC1A2",35281378,35281878,"Promoter (<=1kb)",107984324,"SLC1A2-AS1",0.561751615
"Esophagus-Muscularis","Mural Cells","old vs mid","DECREASE","chr21",35256529,35257029,"Intron (ENST00000475045.6/101928269, intron 9 of 12)",861,"RUNX1",35254448,35254948,"Intron (ENST00000475045.6/101928269, intron 9 of 12)",861,"RUNX1",0.554650498
"Esophagus-Muscularis","Mural Cells","old vs mid","DECREASE","chr19",35740363,35740863,"Promoter (<=1kb)",79713,"IGFLR1",35717428,35717928,"Promoter (<=1kb)",9757,"KMT2B",0.559096153
"Esophagus-Muscularis","Mural Cells","old vs mid","DECREASE","chr6",36728717,36729217,"Exon (ENST00000612677.6/401258, exon 12 of 14)",57699,"CPNE5",36739093,36739593,"Distal Intergenic",57699,"CPNE5",0.51117558
"Esophagus-Muscularis","Mural Cells","old vs mid","DECREASE","chr6",37077761,37078261,"Distal Intergenic",221472,"FGD2",37083512,37084012,"Distal Intergenic",221472,"FGD2",0.540815304
"Esophagus-Muscularis","Mural Cells","old vs mid","DECREASE","chr6",37102484,37102984,"Distal Intergenic",5292,"PIM1",37103087,37103587,"Distal Intergenic",5292,"PIM1",0.600711562
"Esophagus-Muscularis","Mural Cells","old vs mid","DECREASE","chr6",37103087,37103587,"Distal Intergenic",5292,"PIM1",37102484,37102984,"Distal Intergenic",5292,"PIM1",0.600711562
"Esophagus-Muscularis","Mural Cells","old vs mid","DECREASE","chr7",37927986,37928486,"Intron (ENST00000476620.1/54749, intron 2 of 3)",54749,"EPDR1",37927398,37927898,"Intron (ENST00000476620.1/54749, intron 2 of 3)",54749,"EPDR1",0.515724885
"Esophagus-Muscularis","Mural Cells","old vs mid","DECREASE","chr7",37943160,37943660,"Intron (ENST00000476620.1/54749, intron 2 of 3)",54749,"EPDR1",37927398,37927898,"Intron (ENST00000476620.1/54749, intron 2 of 3)",54749,"EPDR1",0.533647541
"Esophagus-Muscularis","Mural Cells","old vs mid","DECREASE","chr22",38030609,38031109,"Intron (ENST00000407936.5/5435, intron 5 of 5)",9463,"PICK1",38027906,38028406,"Intron (ENST00000407936.5/5435, intron 5 of 5)",9463,"PICK1",0.533547907
"Esophagus-Muscularis","Mural Cells","old vs mid","DECREASE","chr20",38122868,38123368,"Intron (ENST00000618318.1/58490, intron 2 of 2)",7052,"TGM2",38152016,38152516,"Intron (ENST00000361475.7/7052, intron 3 of 12)",7052,"TGM2",0.62920571
"Esophagus-Muscularis","Mural Cells","old vs mid","DECREASE","chr20",38152016,38152516,"Intron (ENST00000361475.7/7052, intron 3 of 12)",7052,"TGM2",38122868,38123368,"Intron (ENST00000618318.1/58490, intron 2 of 2)",7052,"TGM2",0.62920571
"Esophagus-Muscularis","Mural Cells","old vs mid","DECREASE","chr20",38152016,38152516,"Intron (ENST00000361475.7/7052, intron 3 of 12)",7052,"TGM2",38194901,38195401,"Distal Intergenic",85449,"KIAA1755",0.593739152
"Esophagus-Muscularis","Mural Cells","old vs mid","DECREASE","chr20",38195434,38195934,"Distal Intergenic",85449,"KIAA1755",38156855,38157355,"Intron (ENST00000361475.7/7052, intron 2 of 12)",7052,"TGM2",0.522754945
"Esophagus-Muscularis","Mural Cells","old vs mid","DECREASE","chr20",38195434,38195934,"Distal Intergenic",85449,"KIAA1755",38167900,38168400,"Promoter (1-2kb)",7052,"TGM2",0.691578513
"Esophagus-Muscularis","Mural Cells","old vs mid","DECREASE","chr20",38195434,38195934,"Distal Intergenic",85449,"KIAA1755",38165150,38165650,"Promoter (<=1kb)",7052,"TGM2",0.503209084
"Esophagus-Muscularis","Mural Cells","old vs mid","DECREASE","chr15",39580572,39581072,"Promoter (<=1kb)",7057,"THBS1",39596567,39597067,"Promoter (2-3kb)",7057,"THBS1",0.517920392
"Esophagus-Muscularis","Mural Cells","old vs mid","DECREASE","chr15",39580572,39581072,"Promoter (<=1kb)",7057,"THBS1",39579160,39579660,"Promoter (1-2kb)",7057,"THBS1",0.658355868
"Esophagus-Muscularis","Mural Cells","old vs mid","DECREASE","chr17",40476798,40477298,"Promoter (1-2kb)",84951,"TNS4",40479240,40479740,"Promoter (<=1kb)",84951,"TNS4",0.655644087
"Esophagus-Muscularis","Mural Cells","old vs mid","DECREASE","chr17",40476798,40477298,"Promoter (1-2kb)",84951,"TNS4",40485865,40486365,"Intron (ENST00000254051.11/84951, intron 4 of 12)",84951,"TNS4",0.632080997
"Esophagus-Muscularis","Mural Cells","old vs mid","DECREASE","chr17",40479240,40479740,"Promoter (<=1kb)",84951,"TNS4",40476798,40477298,"Promoter (1-2kb)",84951,"TNS4",0.655644087
"Esophagus-Muscularis","Mural Cells","old vs mid","DECREASE","chr17",40479240,40479740,"Promoter (<=1kb)",84951,"TNS4",40485865,40486365,"Intron (ENST00000254051.11/84951, intron 4 of 12)",84951,"TNS4",0.588094573
"Esophagus-Muscularis","Mural Cells","old vs mid","DECREASE","chr22",41620869,41621369,"Promoter (<=1kb)",2547,"XRCC6",41589767,41590267,"Promoter (<=1kb)",5372,"PMM1",0.552129904
"Esophagus-Muscularis","Mural Cells","old vs mid","DECREASE","chr19",44753329,44753829,"Promoter (1-2kb)",602,"BCL3",44755296,44755796,"Promoter (<=1kb)",602,"BCL3",0.539863272
"Esophagus-Muscularis","Mural Cells","old vs mid","DECREASE","chr19",44753329,44753829,"Promoter (1-2kb)",602,"BCL3",44754225,44754725,"Promoter (<=1kb)",602,"BCL3",0.56282183
"Esophagus-Muscularis","Mural Cells","old vs mid","DECREASE","chr19",44753329,44753829,"Promoter (1-2kb)",602,"BCL3",44745241,44745741,"Promoter (1-2kb)",602,"BCL3",0.572920361
"Esophagus-Muscularis","Mural Cells","old vs mid","DECREASE","chr19",44753329,44753829,"Promoter (1-2kb)",602,"BCL3",44747351,44747851,"Promoter (<=1kb)",602,"BCL3",0.505347095
"Esophagus-Muscularis","Mural Cells","old vs mid","DECREASE","chr19",44754225,44754725,"Promoter (<=1kb)",602,"BCL3",44753329,44753829,"Promoter (1-2kb)",602,"BCL3",0.56282183
"Esophagus-Muscularis","Mural Cells","old vs mid","DECREASE","chr19",44754225,44754725,"Promoter (<=1kb)",602,"BCL3",44747351,44747851,"Promoter (<=1kb)",602,"BCL3",0.547167578
"Esophagus-Muscularis","Mural Cells","old vs mid","DECREASE","chr19",44754225,44754725,"Promoter (<=1kb)",602,"BCL3",44745241,44745741,"Promoter (1-2kb)",602,"BCL3",0.575412162
"Esophagus-Muscularis","Mural Cells","old vs mid","DECREASE","chr19",44754225,44754725,"Promoter (<=1kb)",602,"BCL3",44748305,44748805,"Promoter (<=1kb)",602,"BCL3",0.591663924
"Esophagus-Muscularis","Mural Cells","old vs mid","DECREASE","chr19",44755296,44755796,"Promoter (<=1kb)",602,"BCL3",44753329,44753829,"Promoter (1-2kb)",602,"BCL3",0.539863272
"Esophagus-Muscularis","Mural Cells","old vs mid","DECREASE","chr19",44755296,44755796,"Promoter (<=1kb)",602,"BCL3",44747351,44747851,"Promoter (<=1kb)",602,"BCL3",0.506913971
"Esophagus-Muscularis","Mural Cells","old vs mid","DECREASE","chr19",45001193,45001693,"Promoter (<=1kb)",5971,"RELB",45001771,45002271,"Promoter (<=1kb)",5971,"RELB",0.532546421
"Esophagus-Muscularis","Mural Cells","old vs mid","DECREASE","chr19",45595802,45596302,"Intron (ENST00000544371.1/80207, intron 1 of 1)",2828,"GPR4",45585451,45585951,"Promoter (<=1kb)",80207,"OPA3",0.583886706
"Esophagus-Muscularis","Mural Cells","old vs mid","DECREASE","chr19",46616978,46617478,"Distal Intergenic",5739,"PTGIR",46634107,46634607,"Promoter (<=1kb)",94235,"GNG8",0.544507828
"Esophagus-Muscularis","Mural Cells","old vs mid","DECREASE","chr20",47066762,47067262,"Intron (ENST00000357410.7/2139, intron 5 of 13)",2139,"EYA2",47102513,47103013,"Intron (ENST00000357410.7/2139, intron 9 of 13)",2139,"EYA2",0.573026465
"Esophagus-Muscularis","Mural Cells","old vs mid","DECREASE","chr20",47066762,47067262,"Intron (ENST00000357410.7/2139, intron 5 of 13)",2139,"EYA2",47086864,47087364,"Promoter (1-2kb)",2139,"EYA2",0.57785022
"Esophagus-Muscularis","Mural Cells","old vs mid","DECREASE","chr20",47120459,47120959,"Intron (ENST00000357410.7/2139, intron 9 of 13)",2139,"EYA2",47124673,47125173,"Intron (ENST00000357410.7/2139, intron 9 of 13)",2139,"EYA2",0.584353257
"Esophagus-Muscularis","Mural Cells","old vs mid","DECREASE","chr20",47120459,47120959,"Intron (ENST00000357410.7/2139, intron 9 of 13)",2139,"EYA2",47102513,47103013,"Intron (ENST00000357410.7/2139, intron 9 of 13)",2139,"EYA2",0.572827121
"Esophagus-Muscularis","Mural Cells","old vs mid","DECREASE","chr20",47120459,47120959,"Intron (ENST00000357410.7/2139, intron 9 of 13)",2139,"EYA2",47100003,47100503,"Intron (ENST00000357410.7/2139, intron 9 of 13)",2139,"EYA2",0.564110769
"Esophagus-Muscularis","Mural Cells","old vs mid","DECREASE","chr18",48859700,48860200,"3' UTR",4092,"SMAD7",48889317,48889817,"Distal Intergenic",4092,"SMAD7",0.518184941
"Esophagus-Muscularis","Mural Cells","old vs mid","DECREASE","chr17",50086350,50086850,"Promoter (<=1kb)",3675,"ITGA3",50062281,50062781,"Intron (ENST00000506401.6/3675, intron 2 of 13)",3675,"ITGA3",0.544896328
"Esophagus-Muscularis","Mural Cells","old vs mid","DECREASE","chr5",52859649,52860149,"Intron (ENST00000282588.7/3672, intron 2 of 28)",3672,"ITGA1",52809974,52810474,"Intron (ENST00000282588.7/3672, intron 1 of 28)",105378963,"LOC105378963",0.513045105
"Esophagus-Muscularis","Mural Cells","old vs mid","DECREASE","chr14",54364905,54365405,"Distal Intergenic",1033,"CDKN3",54349835,54350335,"Distal Intergenic",1033,"CDKN3",0.594699304
"Esophagus-Muscularis","Mural Cells","old vs mid","DECREASE","chr14",54364905,54365405,"Distal Intergenic",1033,"CDKN3",54380593,54381093,"Distal Intergenic",1033,"CDKN3",0.515443292
"Esophagus-Muscularis","Mural Cells","old vs mid","DECREASE","chr14",54380593,54381093,"Distal Intergenic",1033,"CDKN3",54364905,54365405,"Distal Intergenic",1033,"CDKN3",0.515443292
"Esophagus-Muscularis","Mural Cells","old vs mid","DECREASE","chr19",55578780,55579280,"Promoter (1-2kb)",163033,"ZNF579",55547208,55547708,"Promoter (1-2kb)",100130827,"SBK3",0.592905358
"Esophagus-Muscularis","Mural Cells","old vs mid","DECREASE","chr16",56606568,56607068,"Promoter (1-2kb)",4502,"MT2A",56643305,56643805,"Promoter (<=1kb)",326343,"MT1DP",0.542577408
"Esophagus-Muscularis","Mural Cells","old vs mid","DECREASE","chr16",56606568,56607068,"Promoter (1-2kb)",4502,"MT2A",56609250,56609750,"Promoter (<=1kb)",4502,"MT2A",0.512935254
"Esophagus-Muscularis","Mural Cells","old vs mid","DECREASE","chr16",56608154,56608654,"Promoter (<=1kb)",4502,"MT2A",56632014,56632514,"Promoter (<=1kb)",4499,"MT1M",0.567814052
"Esophagus-Muscularis","Mural Cells","old vs mid","DECREASE","chr16",56609250,56609750,"Promoter (<=1kb)",4502,"MT2A",56606568,56607068,"Promoter (1-2kb)",4502,"MT2A",0.512935254
"Esophagus-Muscularis","Mural Cells","old vs mid","DECREASE","chr16",56609250,56609750,"Promoter (<=1kb)",4502,"MT2A",56633907,56634407,"Promoter (1-2kb)",4499,"MT1M",0.513196444
"Esophagus-Muscularis","Mural Cells","old vs mid","DECREASE","chr16",56632014,56632514,"Promoter (<=1kb)",4499,"MT1M",56608154,56608654,"Promoter (<=1kb)",4502,"MT2A",0.567814052
"Esophagus-Muscularis","Mural Cells","old vs mid","DECREASE","chr4",56652024,56652524,"Intron (ENST00000337881.11/84525, intron 2 of 2)",84525,"HOPX",56641328,56641828,"Distal Intergenic",84525,"HOPX",0.717325708
"Esophagus-Muscularis","Mural Cells","old vs mid","DECREASE","chr4",56652024,56652524,"Intron (ENST00000337881.11/84525, intron 2 of 2)",84525,"HOPX",56644773,56645273,"Distal Intergenic",84525,"HOPX",0.506201954
"Esophagus-Muscularis","Mural Cells","old vs mid","DECREASE","chr4",57064056,57064556,"Promoter (1-2kb)",3490,"IGFBP7",57023791,57024291,"Promoter (<=1kb)",5431,"POLR2B",0.591394338
"Esophagus-Muscularis","Mural Cells","old vs mid","DECREASE","chr4",57081354,57081854,"Intron (ENST00000295666.6/3490, intron 1 of 4)",3490,"IGFBP7",57065074,57065574,"Promoter (<=1kb)",3490,"IGFBP7",0.5297996
"Esophagus-Muscularis","Mural Cells","old vs mid","DECREASE","chr20",57662558,57663058,"Intron (ENST00000395816.7/56937, intron 1 of 3)",56937,"PMEPA1",57671558,57672058,"Intron (ENST00000395816.7/56937, intron 1 of 3)",56937,"PMEPA1",0.530449234
"Esophagus-Muscularis","Mural Cells","old vs mid","DECREASE","chr20",57671558,57672058,"Intron (ENST00000395816.7/56937, intron 1 of 3)",56937,"PMEPA1",57662558,57663058,"Intron (ENST00000395816.7/56937, intron 1 of 3)",56937,"PMEPA1",0.530449234
"Esophagus-Muscularis","Mural Cells","old vs mid","DECREASE","chr3",58044330,58044830,"Intron (ENST00000682097.1/2317, intron 1 of 12)",2317,"FLNB",58044884,58045384,"Intron (ENST00000682097.1/2317, intron 1 of 12)",2317,"FLNB",0.507137422
"Esophagus-Muscularis","Mural Cells","old vs mid","DECREASE","chr12",67649351,67649851,"Promoter (<=1kb)",8445,"DYRK2",67678618,67679118,"Distal Intergenic",8445,"DYRK2",0.573531867
"Esophagus-Muscularis","Mural Cells","old vs mid","DECREASE","chr11",69922885,69923385,"Intron (ENST00000562094.1/ENST00000562094.1, intron 1 of 1)",55107,"ANO1",69918782,69919282,"Distal Intergenic",55107,"ANO1",0.549204562
"Esophagus-Muscularis","Mural Cells","old vs mid","DECREASE","chr11",70098733,70099233,"Intron (ENST00000355303.9/55107, intron 2 of 25)",55107,"ANO1",70111537,70112037,"Exon (ENST00000355303.9/55107, exon 7 of 26)",55107,"ANO1",0.58697301
"Esophagus-Muscularis","Mural Cells","old vs mid","DECREASE","chr3",72907997,72908497,"Promoter (<=1kb)",727936,"GXYLT2",72886791,72887291,"Promoter (<=1kb)",727936,"GXYLT2",0.531837753
"Esophagus-Muscularis","Mural Cells","old vs mid","DECREASE","chr11",73171359,73171859,"Intron (ENST00000660457.1/ENST00000660457.1, intron 2 of 2)",9873,"FCHSD2",73173664,73174164,"Intron (ENST00000660457.1/ENST00000660457.1, intron 2 of 2)",9873,"FCHSD2",0.586694932
"Esophagus-Muscularis","Mural Cells","old vs mid","DECREASE","chr11",73173664,73174164,"Intron (ENST00000660457.1/ENST00000660457.1, intron 2 of 2)",9873,"FCHSD2",73171359,73171859,"Intron (ENST00000660457.1/ENST00000660457.1, intron 2 of 2)",9873,"FCHSD2",0.586694932
"Esophagus-Muscularis","Mural Cells","old vs mid","DECREASE","chr17",73317170,73317670,"Distal Intergenic",23580,"CDC42EP4",73304478,73304978,"Intron (ENST00000335793.4/23580, intron 1 of 1)",23580,"CDC42EP4",0.544967109
"Esophagus-Muscularis","Mural Cells","old vs mid","DECREASE","chr17",73317170,73317670,"Distal Intergenic",23580,"CDC42EP4",73316643,73317143,"Distal Intergenic",23580,"CDC42EP4",0.562082164
"Esophagus-Muscularis","Mural Cells","old vs mid","DECREASE","chr17",73317170,73317670,"Distal Intergenic",23580,"CDC42EP4",73365972,73366472,"Promoter (2-3kb)",54549,"SDK2",0.588784797
"Esophagus-Muscularis","Mural Cells","old vs mid","DECREASE","chr17",73323900,73324400,"Distal Intergenic",23580,"CDC42EP4",73324445,73324945,"Distal Intergenic",23580,"CDC42EP4",0.608214496
"Esophagus-Muscularis","Mural Cells","old vs mid","DECREASE","chr17",74240556,74241056,"Promoter (<=1kb)",94015,"TTYH2",74276465,74276965,"Promoter (2-3kb)",64446,"DNAI2",0.643136776
"Esophagus-Muscularis","Mural Cells","old vs mid","DECREASE","chr17",74424573,74425073,"Promoter (<=1kb)",55890,"GPRC5C",74444209,74444709,"Promoter (1-2kb)",55890,"GPRC5C",0.54580198
"Esophagus-Muscularis","Mural Cells","old vs mid","DECREASE","chr17",74424573,74425073,"Promoter (<=1kb)",55890,"GPRC5C",74446694,74447194,"3' UTR",55890,"GPRC5C",0.540359525
"Esophagus-Muscularis","Mural Cells","old vs mid","DECREASE","chr18",74523994,74524494,"Distal Intergenic",55748,"CNDP2",74523100,74523600,"3' UTR",55748,"CNDP2",0.600540489
"Esophagus-Muscularis","Mural Cells","old vs mid","DECREASE","chr14",75278221,75278721,"Promoter (<=1kb)",2353,"FOS",75294059,75294559,"Promoter (<=1kb)",731223,"LINC01220",0.506260444
"Esophagus-Muscularis","Mural Cells","old vs mid","DECREASE","chr17",76370582,76371082,"Intron (ENST00000423915.1/5635, intron 1 of 4)",8877,"SPHK1",76382963,76383463,"Promoter (<=1kb)",8877,"SPHK1",0.583315894
"Esophagus-Muscularis","Mural Cells","old vs mid","DECREASE","chr17",76370582,76371082,"Intron (ENST00000423915.1/5635, intron 1 of 4)",8877,"SPHK1",76384984,76385484,"Promoter (<=1kb)",8877,"SPHK1",0.557301206
"Esophagus-Muscularis","Mural Cells","old vs mid","DECREASE","chr17",76382963,76383463,"Promoter (<=1kb)",8877,"SPHK1",76385891,76386391,"Promoter (<=1kb)",8877,"SPHK1",0.743163743
"Esophagus-Muscularis","Mural Cells","old vs mid","DECREASE","chr17",76382963,76383463,"Promoter (<=1kb)",8877,"SPHK1",76384984,76385484,"Promoter (<=1kb)",8877,"SPHK1",0.631984272
"Esophagus-Muscularis","Mural Cells","old vs mid","DECREASE","chr17",76382963,76383463,"Promoter (<=1kb)",8877,"SPHK1",76370582,76371082,"Intron (ENST00000423915.1/5635, intron 1 of 4)",8877,"SPHK1",0.583315894
"Esophagus-Muscularis","Mural Cells","old vs mid","DECREASE","chr17",76385891,76386391,"Promoter (<=1kb)",8877,"SPHK1",76382963,76383463,"Promoter (<=1kb)",8877,"SPHK1",0.743163743
"Esophagus-Muscularis","Mural Cells","old vs mid","DECREASE","chr18",77070412,77070912,"Intron (ENST00000355994.7/4155, intron 2 of 8)",4155,"MBP",77087752,77088252,"Promoter (<=1kb)",4155,"MBP",0.566708023
"Esophagus-Muscularis","Mural Cells","old vs mid","DECREASE","chr18",77087752,77088252,"Promoter (<=1kb)",4155,"MBP",77114381,77114881,"Exon (ENST00000612024.1/ENST00000612024.1, exon 2 of 2)",4155,"MBP",0.584958332
"Esophagus-Muscularis","Mural Cells","old vs mid","DECREASE","chr18",77087752,77088252,"Promoter (<=1kb)",4155,"MBP",77070412,77070912,"Intron (ENST00000355994.7/4155, intron 2 of 8)",4155,"MBP",0.566708023
"Esophagus-Muscularis","Mural Cells","old vs mid","DECREASE","chr9",77597141,77597641,"Intron (ENST00000341700.7/9630, intron 1 of 6)",9630,"GNA14",77598331,77598831,"Intron (ENST00000341700.7/9630, intron 1 of 6)",9630,"GNA14",0.516406667
"Esophagus-Muscularis","Mural Cells","old vs mid","DECREASE","chr9",77598331,77598831,"Intron (ENST00000341700.7/9630, intron 1 of 6)",9630,"GNA14",77597141,77597641,"Intron (ENST00000341700.7/9630, intron 1 of 6)",9630,"GNA14",0.516406667
"Esophagus-Muscularis","Mural Cells","old vs mid","DECREASE","chr17",78580825,78581325,"Distal Intergenic",8632,"DNAH17",78617423,78617923,"Promoter (<=1kb)",101928710,"SCAT1",0.636798583
"Esophagus-Muscularis","Mural Cells","old vs mid","DECREASE","chr2",85585608,85586108,"Promoter (1-2kb)",10791,"VAMP5",85590407,85590907,"Promoter (<=1kb)",10791,"VAMP5",0.5146755
"Esophagus-Muscularis","Mural Cells","old vs mid","DECREASE","chr16",87842976,87843476,"Intron (ENST00000565644.5/8140, intron 2 of 9)",8140,"SLC7A5",87868112,87868612,"Promoter (<=1kb)",8140,"SLC7A5",0.562067744
"Esophagus-Muscularis","Mural Cells","old vs mid","DECREASE","chr16",87844276,87844776,"Intron (ENST00000565644.5/8140, intron 2 of 9)",8140,"SLC7A5",87868112,87868612,"Promoter (<=1kb)",8140,"SLC7A5",0.608987565
"Esophagus-Muscularis","Mural Cells","old vs mid","DECREASE","chr16",87868112,87868612,"Promoter (<=1kb)",8140,"SLC7A5",87842976,87843476,"Intron (ENST00000565644.5/8140, intron 2 of 9)",8140,"SLC7A5",0.562067744
"Esophagus-Muscularis","Mural Cells","old vs mid","DECREASE","chr16",87868112,87868612,"Promoter (<=1kb)",8140,"SLC7A5",87869316,87869816,"Promoter (<=1kb)",8140,"SLC7A5",0.56757332
"Esophagus-Muscularis","Mural Cells","old vs mid","DECREASE","chr16",87868112,87868612,"Promoter (<=1kb)",8140,"SLC7A5",87844276,87844776,"Intron (ENST00000565644.5/8140, intron 2 of 9)",8140,"SLC7A5",0.608987565
"Esophagus-Muscularis","Mural Cells","old vs mid","DECREASE","chr16",87869316,87869816,"Promoter (<=1kb)",8140,"SLC7A5",87868112,87868612,"Promoter (<=1kb)",8140,"SLC7A5",0.56757332
"Esophagus-Muscularis","Mural Cells","old vs mid","DECREASE","chr6",108557766,108558266,"Promoter (1-2kb)",2309,"FOXO3",108559443,108559943,"Promoter (<=1kb)",2309,"FOXO3",0.561594317
"Esophagus-Muscularis","Mural Cells","old vs mid","DECREASE","chr13",110175467,110175967,"Intron (ENST00000375820.10/1282, intron 36 of 51)",1282,"COL4A1",110218810,110219310,"Intron (ENST00000375820.10/1282, intron 2 of 51)",1282,"COL4A1",0.51037364
"Esophagus-Muscularis","Mural Cells","old vs mid","DECREASE","chr13",110175467,110175967,"Intron (ENST00000375820.10/1282, intron 36 of 51)",1282,"COL4A1",110197127,110197627,"3' UTR",1282,"COL4A1",0.561289419
"Esophagus-Muscularis","Mural Cells","old vs mid","DECREASE","chr13",110294291,110294791,"Intron (ENST00000375820.10/1282, intron 1 of 51)",1282,"COL4A1",110254161,110254661,"Intron (ENST00000375820.10/1282, intron 1 of 51)",1282,"COL4A1",0.535587633
"Esophagus-Muscularis","Mural Cells","old vs mid","DECREASE","chr13",110401443,110401943,"Intron (ENST00000400163.7/1284, intron 4 of 4)",1284,"COL4A2",110363425,110363925,"Intron (ENST00000400163.7/1284, intron 4 of 4)",102465872,"MIR8073",0.610158356
"Esophagus-Muscularis","Mural Cells","old vs mid","DECREASE","chr11",114295061,114295561,"Promoter (<=1kb)",4837,"NNMT",114321660,114322160,"Intron (ENST00000544925.1/ENST00000544925.1, intron 1 of 2)",4837,"NNMT",0.636118953
"Esophagus-Muscularis","Mural Cells","old vs mid","DECREASE","chr11",114295061,114295561,"Promoter (<=1kb)",4837,"NNMT",114308630,114309130,"Intron (ENST00000535401.5/4837, intron 4 of 4)",4837,"NNMT",0.528934115
"Esophagus-Muscularis","Mural Cells","old vs mid","DECREASE","chr9",116632937,116633437,"Intron (ENST00000313400.9/23245, intron 17 of 22)",23245,"ASTN2",116662626,116663126,"Intron (ENST00000313400.9/23245, intron 16 of 22)",23245,"ASTN2",0.574789339
"Esophagus-Muscularis","Mural Cells","old vs mid","DECREASE","chr11",117897963,117898463,"Distal Intergenic",53826,"FXYD6",117885717,117886217,"Distal Intergenic",53826,"FXYD6",0.504868713
"Esophagus-Muscularis","Mural Cells","old vs mid","DECREASE","chr9",121640481,121640981,"Intron (ENST00000394340.7/153090, intron 1 of 5)",153090,"DAB2IP",121651417,121651917,"Promoter (<=1kb)",153090,"DAB2IP",0.521930975
